ref,state,constituency,won status,votes,(votes),Name,Party Name
3286,Rajasthan,JAIPUR(7),lost,393,( -886457),SHASHANK SINGH ARYA,Right to Recall Party
3287,Rajasthan,JAIPUR(7),lost,351,( -886499),TRILOK TIWARI,Rashtriya Samta Vikas Party
3288,Rajasthan,JAIPUR(7),,10428,( -876422),NOTA,None of the Above
3289,Rajasthan,JAIPUR RURAL(6),won,617877,(+ 1615),RAO RAJENDRA SINGH,Bharatiya Janata Party
3290,Rajasthan,JAIPUR RURAL(6),lost,616262,( -1615),ANIL CHOPRA,Indian National Congress
3291,Rajasthan,JAIPUR RURAL(6),lost,3850,( -614027),HANUMAN SAHAY,Bahujan Samaj Party
3292,Rajasthan,JAIPUR RURAL(6),lost,3707,( -614170),RAMSINGH KASANA,Independent
3293,Rajasthan,JAIPUR RURAL(6),lost,2681,( -615196),DR DASHRATH HINUNIA,Ambedkarite Party of India
3294,Rajasthan,JAIPUR RURAL(6),lost,1711,( -616166),KAHANVI BOHRA,Independent
3295,Rajasthan,JAIPUR RURAL(6),lost,1604,( -616273),DR RAM ROOP MEENA ADVOCATE,Independent
3296,Rajasthan,JAIPUR RURAL(6),lost,1407,( -616470),NEHA SINGH GURJAR,Independent
3297,Rajasthan,JAIPUR RURAL(6),lost,1040,( -616837),PRAKASH KUMAR SHARMA,Independent
3298,Rajasthan,JAIPUR RURAL(6),lost,948,( -616929),AJAY BHAT,Republican Party of India (A)
3299,Rajasthan,JAIPUR RURAL(6),lost,941,( -616936),DEVHANS,Independent
3300,Rajasthan,JAIPUR RURAL(6),lost,734,( -617143),DR OM SINGH MEENA SEHARA,Independent
3301,Rajasthan,JAIPUR RURAL(6),lost,666,( -617211),ADITYA PRAKASH SHARMA,Right to Recall Party
3302,Rajasthan,JAIPUR RURAL(6),lost,562,( -617315),YOGI JEETENDRA NATH ADVOCATE,Rashtriya Sawarn Dal
3303,Rajasthan,JAIPUR RURAL(6),lost,545,( -617332),ADVOCATE HARI KISHAN TIWARI,Bheem Tribal Congress
3304,Rajasthan,JAIPUR RURAL(6),,7519,( -610358),NOTA,None of the Above
3305,Rajasthan,BIKANER (2),won,566737,(+ 55711),ARJUN RAM MEGHWAL,Bharatiya Janata Party
3306,Rajasthan,BIKANER (2),lost,511026,( -55711),GOVINDRAM MEGHWAL,Indian National Congress
3307,Rajasthan,BIKANER (2),lost,8299,( -558438),KHETA RAM,Bahujan Samaj Party
3308,Rajasthan,BIKANER (2),lost,6281,( -560456),ATMA RAM GUJARATI,Independent
3309,Rajasthan,BIKANER (2),lost,3926,( -562811),RATANI DEVI,Independent
3310,Rajasthan,BIKANER (2),lost,2966,( -563771),SATYANARAYAN DEVRA,Independent
3311,Rajasthan,BIKANER (2),lost,2675,( -564062),PUKHRAJ NAYAK,Independent
3312,Rajasthan,BIKANER (2),lost,2019,( -564718),BABU LAL,Independent
3313,Rajasthan,BIKANER (2),lost,1795,( -564942),GOPI CHAND MEGHWAL,Independent
3314,Rajasthan,BIKANER (2),,12558,( -554179),NOTA,None of the Above
3315,Rajasthan,TONK-SAWAI MADHOPUR (12),won,623763,(+ 64949),HARISH CHANDRA MEENA,Indian National Congress
3316,Rajasthan,TONK-SAWAI MADHOPUR (12),lost,558814,( -64949),SUKHBIR SINGH JAUNAPURIA,Bharatiya Janata Party
3317,Rajasthan,TONK-SAWAI MADHOPUR (12),lost,13144,( -610619),PRAHALAD MALI,Bahujan Samaj Party
3318,Rajasthan,TONK-SAWAI MADHOPUR (12),lost,7433,( -616330),GANESH MEENA,Indian Peoples Green Party
3319,Rajasthan,TONK-SAWAI MADHOPUR (12),lost,3324,( -620439),MAKHAN LAL MEENA,Independent
3320,Rajasthan,TONK-SAWAI MADHOPUR (12),lost,3045,( -620718),JASRAM MEENA,Independent
3321,Rajasthan,TONK-SAWAI MADHOPUR (12),lost,2697,( -621066),VIJENDRA,Aazad Samaj Party (Kanshi Ram)
3322,Rajasthan,TONK-SAWAI MADHOPUR (12),lost,2521,( -621242),GIRRAJ PRASAD MEENA,Independent
3323,Rajasthan,TONK-SAWAI MADHOPUR (12),lost,1373,( -622390),JAGDISH PRASAD MEENA,Bharat Adivasi Party
3324,Rajasthan,TONK-SAWAI MADHOPUR (12),lost,1264,( -622499),DULI CHAND SAINI,Rajasthan Raj Party
3325,Rajasthan,TONK-SAWAI MADHOPUR (12),lost,1029,( -622734),JAGDISH PRASAD SHARMA,Bheem Tribal Congress
3326,Rajasthan,TONK-SAWAI MADHOPUR (12),,8177,( -615586),NOTA,None of the Above
3327,Rajasthan,DAUSA (11),won,646266,(+ 237340),MURARI LAL MEENA,Indian National Congress
3328,Rajasthan,DAUSA (11),lost,408926,( -237340),KANHAIYA LAL MEENA,Bharatiya Janata Party
3329,Rajasthan,DAUSA (11),lost,6797,( -639469),SONU DHANKA,Bahujan Samaj Party
3330,Rajasthan,DAUSA (11),lost,2721,( -643545),"DR. RAM ROOP MEENA, ADVOCATE",Independent
3331,Rajasthan,DAUSA (11),lost,2178,( -644088),MOHAN LAL MEENA,Independent
3332,Rajasthan,DAUSA (11),,5846,( -640420),NOTA,None of the Above
3333,Rajasthan,KARAULI-DHOLPUR (10),won,530011,(+ 98945),BHAJAN LAL JATAV,Indian National Congress
3334,Rajasthan,KARAULI-DHOLPUR (10),lost,431066,( -98945),INDU DEVI,Bharatiya Janata Party
3335,Rajasthan,KARAULI-DHOLPUR (10),lost,14112,( -515899),VIKRAM SINGH,Bahujan Samaj Party
3336,Rajasthan,KARAULI-DHOLPUR (10),lost,5473,( -524538),RAMKHILADI DHOVI,Independent
3337,Rajasthan,KARAULI-DHOLPUR (10),,7460,( -522551),NOTA,None of the Above
3338,Rajasthan,BHARATPUR (9),won,579890,(+ 51983),SANJNA JATAV,Indian National Congress
3339,Rajasthan,BHARATPUR (9),lost,527907,( -51983),RAMSWAROOP KOLI,Bharatiya Janata Party
3340,Rajasthan,BHARATPUR (9),lost,9508,( -570382),ANJILA JATAV,Bahujan Samaj Party
3341,Rajasthan,BHARATPUR (9),lost,5119,( -574771),ANEETA,Independent
3342,Rajasthan,BHARATPUR (9),lost,2747,( -577143),PURUSHOTTAM LAL,Independent
3343,Rajasthan,BHARATPUR (9),lost,2386,( -577504),PUSHPENDAR KUMAR,Independent
3344,Rajasthan,BHARATPUR (9),,5443,( -574447),NOTA,None of the Above
3345,Rajasthan,JHUNJHUNU     (4),won,553168,(+ 18235),BRIJENDRA SINGH OLA,Indian National Congress
3346,Rajasthan,JHUNJHUNU     (4),lost,534933,( -18235),SHUBHKARAN CHOUDHARY,Bharatiya Janata Party
3347,Rajasthan,JHUNJHUNU     (4),lost,7690,( -545478),SHEKHAWAT RAJENDRA SINGH,Independent
3348,Rajasthan,JHUNJHUNU     (4),lost,6867,( -546301),BANSHIDHAR,Bahujan Samaj Party
3349,Rajasthan,JHUNJHUNU     (4),lost,5497,( -547671),DURGA PRASAD MEENA,Ambedkarite Party of India
3350,Rajasthan,JHUNJHUNU     (4),lost,2050,( -551118),ALTIF,Independent
3351,Rajasthan,JHUNJHUNU     (4),lost,1150,( -552018),SATYANARAYAN,Bheem Tribal Congress
3352,Rajasthan,JHUNJHUNU     (4),lost,940,( -552228),HAZARI LAL,Bahujan Kranti Party (Marxwad-Ambedkarwad)
3353,Rajasthan,JHUNJHUNU     (4),,6632,( -546536),NOTA,None of the Above
3354,Rajasthan,CHURU(3),won,728211,(+ 72737),RAHUL KASWAN,Indian National Congress
3355,Rajasthan,CHURU(3),lost,655474,( -72737),DEVENDRA JHAJHARIA,Bharatiya Janata Party
3356,Rajasthan,CHURU(3),lost,11271,( -716940),DEIRAM MEGHWAL,Bahujan Samaj Party
3357,Rajasthan,CHURU(3),lost,5724,( -722487),RAMESH KUMAR,Independent
3358,Rajasthan,CHURU(3),lost,4961,( -723250),GOMATI DHARAMPAL KATARIA,Bharat Rakshak Party (Democratic)
3359,Rajasthan,CHURU(3),lost,4559,( -723652),SUKHDEV,Independent
3360,Rajasthan,CHURU(3),lost,1812,( -726399),RANVEER SINGH,Independent
3361,Rajasthan,CHURU(3),lost,1644,( -726567),BISAN SINGH,Independent
3362,Rajasthan,CHURU(3),lost,1230,( -726981),YUSUF ALI KHAN,Independent
3363,Rajasthan,CHURU(3),lost,1193,( -727018),DAULAT RAM PENSIA,National Janmandal Party
3364,Rajasthan,CHURU(3),lost,675,( -727536),SHISHPAL SINGH RANA,Bheem Tribal Congress
3365,Rajasthan,CHURU(3),lost,668,( -727543),NIRANJAN SINGH RATHORE,Independent
3366,Rajasthan,CHURU(3),lost,567,( -727644),ASLAM LILGAR,Independent
3367,Rajasthan,CHURU(3),,6656,( -721555),NOTA,None of the Above
3368,Rajasthan,GANGANAGAR (1),won,726492,(+ 88153),KULDEEP INDORA,Indian National Congress
3369,Rajasthan,GANGANAGAR (1),lost,638339,( -88153),PRIYANKA BALAN MEGHWAL,Bharatiya Janata Party
3370,Rajasthan,GANGANAGAR (1),lost,16302,( -710190),DEVKARAN NAYAK,Bahujan Samaj Party
3371,Rajasthan,GANGANAGAR (1),lost,4375,( -722117),RAJKUMAR,Independent
3372,Rajasthan,GANGANAGAR (1),lost,4362,( -722130),KULWANT KAUR,Indian Peoples Green Party
3373,Rajasthan,GANGANAGAR (1),lost,3719,( -722773),DAYA RAM,Independent
3374,Rajasthan,GANGANAGAR (1),lost,2443,( -724049),RAJENDER KUMAR,Bhartiya Jan Samman Party
3375,Rajasthan,GANGANAGAR (1),lost,2266,( -724226),KANA RAM,Independent
3376,Rajasthan,GANGANAGAR (1),lost,2101,( -724391),MAJOR SINGH,Jai Hind Congress Party
3377,Rajasthan,GANGANAGAR (1),,13095,( -713397),NOTA,None of the Above
3378,Punjab,Firozpur(10),won,266626,(+ 3242),SHER SINGH GHUBAYA,Indian National Congress
3379,Punjab,Firozpur(10),lost,263384,( -3242),JAGDEEP SINGH KAKA BRAR,Aam Aadmi Party
3380,Punjab,Firozpur(10),lost,255097,( -11529),GURMIT SINGH SODHI,Bharatiya Janata Party
3381,Punjab,Firozpur(10),lost,253645,( -12981),NARDEV SINGH BOBBY MANN,Shiromani Akali Dal
3382,Punjab,Firozpur(10),lost,15941,( -250685),GURCHARAN SINGH BHULLAR,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)
3383,Punjab,Firozpur(10),lost,9478,( -257148),FOJI ANGREJ SINGH WARWAL,Independent
3384,Punjab,Firozpur(10),lost,8433,( -258193),SURINDER KAMBOJ,Bahujan Samaj Party
3385,Punjab,Firozpur(10),lost,6535,( -260091),JASKARAN SINGH KAHAN SINGH WALA,Independent
3386,Punjab,Firozpur(10),lost,4599,( -262027),SUKHDEV SINGH,Independent
3387,Punjab,Firozpur(10),lost,3724,( -262902),SAHIL MONGA,Independent
3388,Punjab,Firozpur(10),lost,3031,( -263595),PRITAM SINGH,Independent
3389,Punjab,Firozpur(10),lost,2897,( -263729),GURPREET SINGH,Independent
3390,Punjab,Firozpur(10),lost,2570,( -264056),ARWINDER SINGH,Independent
3391,Punjab,Firozpur(10),lost,2436,( -264190),DEEPAK KUMAR DEEP DASHANAND,Independent
3392,Punjab,Firozpur(10),lost,2432,( -264194),RAJ,Independent
3393,Punjab,Firozpur(10),lost,1947,( -264679),PREM CHAND BOONGI,Punjab National Party
3394,Punjab,Firozpur(10),lost,1615,( -265011),AJIT SINGH,Rashtriya Republican Party
3395,Punjab,Firozpur(10),lost,1540,( -265086),SURINDER KUMAR BANSAL,Independent
3396,Punjab,Firozpur(10),lost,1538,( -265088),HARPREET SINGH,Independent
3397,Punjab,Firozpur(10),lost,1490,( -265136),KULDEEP SINGH,India Praja Bandhu Party
3398,Punjab,Firozpur(10),lost,1367,( -265259),BALWINDER SINGH CHOHAN,Jan Sewa Driver Party
3399,Punjab,Firozpur(10),lost,1364,( -265262),BALWINDER SINGH,Republican Party of India (Athawale)
3400,Punjab,Firozpur(10),lost,1342,( -265284),GURCHARAN SINGH,Independent
3401,Punjab,Firozpur(10),lost,1320,( -265306),UMESH KUMAR,Independent
3402,Punjab,Firozpur(10),lost,1152,( -265474),BALWANT SINGH SAMMEWALI,Nationalist Justice Party
3403,Punjab,Firozpur(10),lost,1078,( -265548),MOHAN SINGH,Independent
3404,Punjab,Firozpur(10),lost,971,( -265655),JASKARAN SINGH SIDHU,Independent
3405,Punjab,Firozpur(10),lost,821,( -265805),JASWANT SINGH KHATRI,Independent
3406,Punjab,Firozpur(10),lost,642,( -265984),CHAMKAUR SINGH,Independent
3407,Punjab,Firozpur(10),,6100,( -260526),NOTA,None of the Above
3408,Punjab,Fatehgarh Sahib(8),won,332591,(+ 34202),AMAR SINGH,Indian National Congress
3409,Punjab,Fatehgarh Sahib(8),lost,298389,( -34202),GURPREET SINGH GP,Aam Aadmi Party
3410,Punjab,Fatehgarh Sahib(8),lost,127521,( -205070),GEJJA RAM,Bharatiya Janata Party
3411,Punjab,Fatehgarh Sahib(8),lost,126730,( -205861),BIKRAMJIT SINGH KHALSA,Shiromani Akali Dal
3412,Punjab,Fatehgarh Sahib(8),lost,43644,( -288947),RAJ JATINDER SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)
3413,Punjab,Fatehgarh Sahib(8),lost,20892,( -311699),KULWANT SINGH,Bahujan Samaj Party
3414,Punjab,Fatehgarh Sahib(8),lost,3792,( -328799),PREM SINGH MOHANPUR,Independent
3415,Punjab,Fatehgarh Sahib(8),lost,3104,( -329487),BAHAL SINGH,Aazad Samaj Party (Kanshi Ram)
3416,Punjab,Fatehgarh Sahib(8),lost,2167,( -330424),PARAMJIT SINGH,Independent
3417,Punjab,Fatehgarh Sahib(8),lost,1977,( -330614),RULDA SINGH,Independent
3418,Punjab,Fatehgarh Sahib(8),lost,1465,( -331126),PARKASH PETER,Independent
3419,Punjab,Fatehgarh Sahib(8),lost,1166,( -331425),HARJINDER SINGH,Independent
3420,Punjab,Fatehgarh Sahib(8),lost,899,( -331692),KAMALJEET KAUR,Independent
3421,Punjab,Fatehgarh Sahib(8),lost,731,( -331860),HARGOBIND SINGH,Independent
3422,Punjab,Fatehgarh Sahib(8),,9188,( -323403),NOTA,None of the Above
3423,Punjab,Ludhiana(7),won,322224,(+ 20942),AMRINDER SINGH RAJA WARRING,Indian National Congress
3424,Punjab,Ludhiana(7),lost,301282,( -20942),RAVNEET SINGH BITTU,Bharatiya Janata Party
3425,Punjab,Ludhiana(7),lost,237077,( -85147),ASHOK PRASHAR PAPPI,Aam Aadmi Party
3426,Punjab,Ludhiana(7),lost,90220,( -232004),RANJIT SINGH DHILLON,Shiromani Akali Dal
3427,Punjab,Ludhiana(7),lost,42500,( -279724),KAMALJIT SINGH BRAR,Independent
3428,Punjab,Ludhiana(7),lost,18241,( -303983),AMRITPAL SINGH CHHANDRAN,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)
3429,Punjab,Ludhiana(7),lost,10394,( -311830),DAVINDER SINGH RAMGARHIA,Bahujan Samaj Party
3430,Punjab,Ludhiana(7),lost,2530,( -319694),NARESH DHINGAAN,Independent
3431,Punjab,Ludhiana(7),lost,2091,( -320133),RAKESH KUMAR (RICKY),Sunahara Bharat Party
3432,Punjab,Ludhiana(7),lost,2086,( -320138),ER. BALDEV RAJ KATNA (DEBI),Independent
3433,Punjab,Ludhiana(7),lost,1824,( -320400),PRITPAL SINGH,Bahujan Dravida Party
3434,Punjab,Ludhiana(7),lost,1768,( -320456),DR. PALWINDER KAUR,Independent
3435,Punjab,Ludhiana(7),lost,1567,( -320657),SANJEEV KUMAR (SANJU),Independent
3436,Punjab,Ludhiana(7),lost,1518,( -320706),RAJIV KUMAR MEHRA,Jan Sewa Driver Party
3437,Punjab,Ludhiana(7),lost,1287,( -320937),BHUPINDER SINGH,Bharatheeya Jawan Kisan Party
3438,Punjab,Ludhiana(7),lost,1138,( -321086),BALJIT SINGH,Independent
3439,Punjab,Ludhiana(7),lost,1041,( -321183),VIPAN KUMAR BATRA,Independent
3440,Punjab,Ludhiana(7),lost,987,( -321237),AMANDEEP SINGH,Sehajdhari Sikh Party
3441,Punjab,Ludhiana(7),lost,927,( -321297),PARAMJIT SINGH,Independent
3442,Punjab,Ludhiana(7),lost,918,( -321306),BALVINDER SINGH BITTA,Independent
3443,Punjab,Ludhiana(7),lost,912,( -321312),SIMRANDEEP SINGH,Independent
3444,Punjab,Ludhiana(7),lost,860,( -321364),DEVINDER BHAGRIA,Hindustan Shakti Sena
3445,Punjab,Ludhiana(7),lost,820,( -321404),KANIYA LAL (DR. KISHAN KUMAR),Independent
3446,Punjab,Ludhiana(7),lost,770,( -321454),SUDHIR KUMAR TRIPATHI,Independent
3447,Punjab,Ludhiana(7),lost,738,( -321486),GURDEEP SINGH KAHLON,Independent
3448,Punjab,Ludhiana(7),lost,695,( -321529),DR. DEVINDER SINGH GILL,Aam Lok Party United
3449,Punjab,Ludhiana(7),lost,621,( -321603),KIRPAL SINGH KAPURI,Independent
3450,Punjab,Ludhiana(7),lost,610,( -321614),SANTOSH KUMAR,Bharatiya Inqalab Party
3451,Punjab,Ludhiana(7),lost,592,( -321632),KAMAL PAWAR,Independent
3452,Punjab,Ludhiana(7),lost,548,( -321676),RAVINDER PAL SINGH BABA JI BARGAR WALE,Independent
3453,Punjab,Ludhiana(7),lost,517,( -321707),GURMEET SINGH KHARAY,Independent
3454,Punjab,Ludhiana(7),lost,467,( -321757),RUPINDER KUMAR,Independent
3455,Punjab,Ludhiana(7),lost,456,( -321768),CHANDI,Independent
3456,Punjab,Ludhiana(7),lost,450,( -321774),BALDEV SINGH SUMAN,Independent
3457,Punjab,Ludhiana(7),lost,419,( -321805),JAI - PARKASH JAIN (TITU BANIYA),Independent
3458,Punjab,Ludhiana(7),lost,419,( -321805),HARVINDER KAUR,Samajik Sangharsh Party
3459,Punjab,Ludhiana(7),lost,415,( -321809),SHIVAM YADAV,Global Republican Party
3460,Punjab,Ludhiana(7),lost,411,( -321813),BHOLA SINGH,Independent
3461,Punjab,Ludhiana(7),lost,390,( -321834),DARSHAN SINGH DABA,Nationalist Justice Party
3462,Punjab,Ludhiana(7),lost,383,( -321841),KULDEEP KUMAR SHARMA,Independent
3463,Punjab,Ludhiana(7),lost,344,( -321880),VISHAL KUMAR ARORA,Independent
3464,Punjab,Ludhiana(7),lost,340,( -321884),KARNAIL SINGH,Independent
3465,Punjab,Ludhiana(7),lost,284,( -321940),RAJINDER GHAI,Independent
3466,Punjab,Ludhiana(7),,5076,( -317148),NOTA,None of the Above
3467,Punjab,Jalandhar(4),won,390053,(+ 175993),CHARANJIT SINGH CHANNI,Indian National Congress
3468,Punjab,Jalandhar(4),lost,214060,( -175993),SUSHIL KUMAR RINKU,Bharatiya Janata Party
3469,Punjab,Jalandhar(4),lost,208889,( -181164),PAWAN KUMAR TINU,Aam Aadmi Party
3470,Punjab,Jalandhar(4),lost,67911,( -322142),MOHINDER SINGH KAYPEE,Shiromani Akali Dal
3471,Punjab,Jalandhar(4),lost,64941,( -325112),ADVOCATE BALWINDER KUMAR,Bahujan Samaj Party
3472,Punjab,Jalandhar(4),lost,19284,( -370769),SARABJIT SINGH KHALSA,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)
3473,Punjab,Jalandhar(4),lost,5958,( -384095),MASTER PARSHOTAM LAL BILGA,Communist Party of India  (Marxist)
3474,Punjab,Jalandhar(4),lost,1956,( -388097),IQBAL CHAND MATTU,Independent
3475,Punjab,Jalandhar(4),lost,1879,( -388174),NEETU SHATTRA WALA,Independent
3476,Punjab,Jalandhar(4),lost,1184,( -388869),AMRISH BHAGAT,Independent
3477,Punjab,Jalandhar(4),lost,1113,( -388940),GURDEEP SINGH BITTU,Independent
3478,Punjab,Jalandhar(4),lost,1088,( -388965),RAJ KUMAR SAQI,Peoples Party of India (Democratic)
3479,Punjab,Jalandhar(4),lost,1055,( -388998),SONIA,Republican Party of India (Athawale)
3480,Punjab,Jalandhar(4),lost,952,( -389101),RAJWANT KAUR KHALSA,Apna Samaj Party
3481,Punjab,Jalandhar(4),lost,930,( -389123),BHAGAT GULSHAN AZAAD,Democratic Bharatiya Samaj Party
3482,Punjab,Jalandhar(4),lost,876,( -389177),RAMESH LAL KALA,Independent
3483,Punjab,Jalandhar(4),lost,743,( -389310),ASHOK KUMAR JAKHU,Independent
3484,Punjab,Jalandhar(4),lost,591,( -389462),BAL MUKAND BAWRA,Global Republican Party
3485,Punjab,Jalandhar(4),lost,500,( -389553),PARAMJIT KAUR TEJI,Independent
3486,Punjab,Jalandhar(4),lost,401,( -389652),TARACHAND SHEELA,Loktantrik Lok Rajyam Party
3487,Punjab,Jalandhar(4),,4743,( -385310),NOTA,None of the Above
3488,Punjab,Amritsar(2),won,255181,(+ 40301),GURJEET SINGH AUJLA,Indian National Congress
3489,Punjab,Amritsar(2),lost,214880,( -40301),KULDEEP SINGH DHALIWAL,Aam Aadmi Party
3490,Punjab,Amritsar(2),lost,207205,( -47976),TARANJIT SINGH SANDHU SAMUNDRI,Bharatiya Janata Party
3491,Punjab,Amritsar(2),lost,162896,( -92285),ANIL JOSHI,Shiromani Akali Dal
3492,Punjab,Amritsar(2),lost,26796,( -228385),EMAAN SINGH MANN,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)
3493,Punjab,Amritsar(2),lost,3399,( -251782),SATBIR SINGH  JAMMU,Independent
3494,Punjab,Amritsar(2),lost,2733,( -252448),VISHAL SIDHU,Bahujan Samaj Party
3495,Punjab,Amritsar(2),lost,2481,( -252700),DASWINDER KAUR,Communist Party of India
3496,Punjab,Amritsar(2),lost,2460,( -252721),SHARANJIT KAUR,Independent
3497,Punjab,Amritsar(2),lost,2362,( -252819),AMANPREET SINGH MAHADIPUR,Independent
3498,Punjab,Amritsar(2),lost,2129,( -253052),GURINDER SINGH SABHI GILL,Independent
3499,Punjab,Amritsar(2),lost,1988,( -253193),SAHIB SINGH,Independent
3500,Punjab,Amritsar(2),lost,1507,( -253674),SHAMSHER SINGH SHERA,Independent
3501,Punjab,Amritsar(2),lost,1487,( -253694),SHAM LAL GANDHI,Independent
3502,Punjab,Amritsar(2),lost,1375,( -253806),LOVEPREET SHARMA,Aas Punjab Party
3503,Punjab,Amritsar(2),lost,1358,( -253823),MASTER HARJINDER PAL,Independent
3504,Punjab,Amritsar(2),lost,1227,( -253954),JASPAL MASIH,Independent
3505,Punjab,Amritsar(2),lost,1133,( -254048),RESHAM SINGH,Independent
3506,Punjab,Amritsar(2),lost,1107,( -254074),BAL KRISHAN SHARMA,Independent
3507,Punjab,Amritsar(2),lost,1106,( -254075),SIMRANPREET SINGH,Independent
3508,Punjab,Amritsar(2),lost,1097,( -254084),NARINDER KAUR,Aam Janta Party (India)
3509,Punjab,Amritsar(2),lost,1044,( -254137),DILDAR MASIH,Shiromani Lok Dal Party
3510,Punjab,Amritsar(2),lost,900,( -254281),RAJINDER KUMAR SHARMA,Independent
3511,Punjab,Amritsar(2),lost,857,( -254324),BALWINDER SINGH,Independent
3512,Punjab,Amritsar(2),lost,738,( -254443),GURPREET SINGH RATTAN,Republican Party of India (Athawale)
3513,Punjab,Amritsar(2),lost,652,( -254529),DR RAMESH KUMAR,Sacho Sach Party
3514,Punjab,Amritsar(2),lost,610,( -254571),GAGANDEEP,Independent
3515,Punjab,Amritsar(2),lost,434,( -254747),PRITHVI PAL,Independent
3516,Punjab,Amritsar(2),lost,409,( -254772),NEELAM,Independent
3517,Punjab,Amritsar(2),lost,391,( -254790),DILBAGH SINGH,Independent
3518,Punjab,Amritsar(2),,3714,( -251467),NOTA,None of the Above
3519,Punjab,Gurdaspur(1),won,364043,(+ 82861),SUKHJINDER SINGH RANDHAWA,Indian National Congress
3520,Punjab,Gurdaspur(1),lost,281182,( -82861),DINESH SINGH BABBU,Bharatiya Janata Party
3521,Punjab,Gurdaspur(1),lost,277252,( -86791),AMANSHER SINGH (SHERY KALSI),Aam Aadmi Party
3522,Punjab,Gurdaspur(1),lost,85500,( -278543),DR. DALJIT SINGH CHEEMA,Shiromani Akali Dal
3523,Punjab,Gurdaspur(1),lost,25765,( -338278),GURINDER SINGH BAJWA,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)
3524,Punjab,Gurdaspur(1),lost,5952,( -358091),SANT SEWAK,Independent
3525,Punjab,Gurdaspur(1),lost,4930,( -359113),RAJ KUMAR,Bahujan Samaj Party
3526,Punjab,Gurdaspur(1),lost,4738,( -359305),SANTOSH KAUR,Independent
3527,Punjab,Gurdaspur(1),lost,4440,( -359603),SAMUEL SONI,Independent
3528,Punjab,Gurdaspur(1),lost,3373,( -360670),SURJIT SINGH,Independent
3529,Punjab,Gurdaspur(1),lost,2178,( -361865),SANJEEV SINGH,Independent
3530,Punjab,Gurdaspur(1),lost,1782,( -362261),SURINDER SINGH,Independent
3531,Punjab,Gurdaspur(1),lost,1709,( -362334),GURPREET KAUR BAJWA,Independent
3532,Punjab,Gurdaspur(1),lost,1635,( -362408),SANJEEV MANHAS,Independent
3533,Punjab,Gurdaspur(1),lost,1511,( -362532),ROBI MASIH,Independent
3534,Punjab,Gurdaspur(1),lost,1194,( -362849),SANTOSH KUMARI,Megh Desham Party
3535,Punjab,Gurdaspur(1),lost,1098,( -362945),RAMESH KUMAR TOLLA,Bharatheeya Jawan Kisan Party
3536,Punjab,Gurdaspur(1),lost,924,( -363119),AMIT AGGARWAL,Independent
3537,Punjab,Gurdaspur(1),lost,885,( -363158),TARSEM MASIH SAHOTA,Independent
3538,Punjab,Gurdaspur(1),lost,805,( -363238),TILAK RAJ,Independent
3539,Punjab,Gurdaspur(1),lost,789,( -363254),RANJODH SINGH,Jan Sewa Driver Party
3540,Punjab,Gurdaspur(1),lost,699,( -363344),I.S.GULATI,Independent
3541,Punjab,Gurdaspur(1),lost,657,( -363386),RAMESH LAL,National Republic Party Of India
3542,Punjab,Gurdaspur(1),lost,546,( -363497),JAGDISH MASIH,Independent
3543,Punjab,Gurdaspur(1),lost,461,( -363582),JATINDER KUMAR SHARMA,Bhartiya Rashtriya Dal
3544,Punjab,Gurdaspur(1),lost,424,( -363619),DARBARA SINGH,Nationalist Justice Party
3545,Punjab,Gurdaspur(1),,3354,( -360689),NOTA,None of the Above
3546,Punjab,Anandpur Sahib(6),won,313217,(+ 10846),MALVINDER SINGH KANG,Aam Aadmi Party
3547,Punjab,Anandpur Sahib(6),lost,302371,( -10846),VIJAY INDER SINGLA,Indian National Congress
3548,Punjab,Anandpur Sahib(6),lost,186578,( -126639),DR SUBHASH SHARMA,Bharatiya Janata Party
3549,Punjab,Anandpur Sahib(6),lost,117936,( -195281),PREM SINGH CHANDUMAJRA,Shiromani Akali Dal
3550,Punjab,Anandpur Sahib(6),lost,90157,( -223060),JASVIR SINGH GARHI,Bahujan Samaj Party
3551,Punjab,Anandpur Sahib(6),lost,24831,( -288386),KUSHAL PAL SINGH MANN,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)
3552,Punjab,Anandpur Sahib(6),lost,6171,( -307046),GAJJAN SINGH,Independent
3553,Punjab,Anandpur Sahib(6),lost,2962,( -310255),SIMPLE KUMAR,Independent
3554,Punjab,Anandpur Sahib(6),lost,2297,( -310920),SATPAL,Independent
3555,Punjab,Anandpur Sahib(6),lost,2182,( -311035),GURMIT SINGH,Independent
3556,Punjab,Anandpur Sahib(6),lost,2043,( -311174),DHARMINDER SINGH HARMAN,Akhil Bhartiya Parivar Party
3557,Punjab,Anandpur Sahib(6),lost,1977,( -311240),SUNIL KUMAR,Bhartiya Jan Samman Party
3558,Punjab,Anandpur Sahib(6),lost,1715,( -311502),ER DALJEET SINGH SAINI,Bharatheeya Jawan Kisan Party
